opencode/big-pickle	OpenCode — Big Pickle
opencode/deepseek-v4-flash-free	OpenCode — DeepSeek V4 Flash (Free)
opencode/laguna-s-2.1-free	OpenCode — Laguna S 2.1 (Free)
opencode/ling-3.0-flash-free	OpenCode — Ling 3.0 Flash (Free)
opencode/mimo-v2.5-free	OpenCode — MiMo V2.5 (Free)
opencode/nemotron-3-ultra-free	OpenCode — Nemotron 3 Ultra (Free)
opencode/north-mini-code-free	OpenCode — North Mini Code (Free)
opencode-go/deepseek-v4-flash	OpenCode Go — DeepSeek V4 Flash
opencode-go/deepseek-v4-pro	OpenCode Go — DeepSeek V4 Pro
opencode-go/glm-5.1	OpenCode Go — GLM 5.1
opencode-go/glm-5.2	OpenCode Go — GLM 5.2
opencode-go/gpt-5.6-luna	OpenCode Go — GPT-5.6 Luna
opencode-go/grok-4.5	OpenCode Go — Grok 4.5
opencode-go/hy3	OpenCode Go — HY3
opencode-go/kimi-k2.6	OpenCode Go — Kimi K2.6
opencode-go/kimi-k2.7-code	OpenCode Go — Kimi K2.7 Code
opencode-go/kimi-k3	OpenCode Go — Kimi K3
opencode-go/mimo-v2.5	OpenCode Go — MiMo V2.5
opencode-go/mimo-v2.5-pro	OpenCode Go — MiMo V2.5 Pro
opencode-go/minimax-m2.7	OpenCode Go — MiniMax M2.7
opencode-go/minimax-m3	OpenCode Go — MiniMax M3
opencode-go/qwen3.6-plus	OpenCode Go — Qwen3.6 Plus
opencode-go/qwen3.7-max	OpenCode Go — Qwen3.7 Max
opencode-go/qwen3.7-plus	OpenCode Go — Qwen3.7 Plus
opencode-go/qwen3.8-max	OpenCode Go — Qwen3.8 Max
